# TCVN 6056 to Unicode mappings compiled from multiple versions of the Unihan database from
#   Unicode 3.1.1 or later. The character encoding described is incompatible with the one
#   described by Unihan databases from Unicode 3.1.0 or earlier; presumably the newer data is
#   the correct data.
#
0x5330	U+5C40
0x5331	U+5C45
0x5332	U+5C48
0x5333	U+5C4B
0x5334	U+5C4D
0x5335	U+5C4F
0x5336	U+5C55
0x5337	U+5C60
0x5338	U+5C62
0x5339	U+5C64
0x533A	U+5C6C
0x533B	U+5C6F
0x533C	U+5C71
0x533D	U+5C79
0x533E	U+5C8C
0x533F	U+5C91
0x5340	U+5CA7
0x5341	U+5CA9
0x5342	U+5CB1
0x5343	U+5CB5
0x5344	U+5CB8
0x5345	U+5CF6
0x5346	U+5CFD
0x5347	U+5D07
0x5348	U+5D0A
0x5349	U+5D11
0x534A	U+5D12
0x534B	U+5D14
0x534C	U+5D16
0x534D	U+5D19
0x534E	U+5D41
0x534F	U+5D4B
0x5350	U+5D4E
0x5351	U+5D69
0x5352	U+5D6C
0x5353	U+5D84
0x5354	U+5DA2
0x5355	U+5DCD
0x5356	U+5DD6
0x5357	U+5DDD
0x5358	U+5DDE
0x5359	U+5DE1
0x535A	U+5DE2
0x535B	U+5DE5
0x535C	U+5DE6
0x535D	U+5DE7
0x535E	U+5DEE
0x535F	U+5DF1
0x5360	U+5DF2
0x5361	U+5DF3
0x5362	U+5DF4
0x5363	U+5DFD
0x5364	U+5DFE
0x5365	U+5E00
0x5366	U+5E02
0x5367	U+5E03
0x5368	U+5E0C
0x5369	U+5E11
0x536A	U+5E16
0x536B	U+5E1D
0x536C	U+5E25
0x536D	U+5E2B
0x536E	U+5E33
0x536F	U+5E36
0x5370	U+5E38
0x5371	U+5E3D
0x5372	U+5E40
0x5373	U+5E54
0x5374	U+5E5B
0x5375	U+5E5F
0x5376	U+5E61
0x5377	U+5E62
0x5378	U+5E63
0x5379	U+5E72
0x537A	U+5E73
0x537B	U+5E74
0x537C	U+5E7B
0x537D	U+5E7C
0x537E	U+5E84
0x5421	U+5E8A
0x5422	U+5E8F
0x5423	U+5E95
0x5424	U+5E97
0x5425	U+5E99
0x5426	U+5E9A
0x5427	U+5E9C
0x5428	U+5EA6
0x5429	U+5EA7
0x542A	U+5EAB
0x542B	U+5EAD
0x542C	U+5EB5
0x542D	U+5EB6
0x542E	U+5EB7
0x542F	U+5EC1
0x5430	U+5EC2
0x5431	U+5EC8
0x5432	U+5EC9
0x5433	U+5ECA
0x5434	U+5ED3
0x5435	U+5ED5
0x5436	U+5EDA
0x5437	U+5EDB
0x5438	U+5EDF
0x5439	U+5EE0
0x543A	U+5EE1
0x543B	U+5EE2
0x543C	U+5EE3
0x543D	U+5EE9
0x543E	U+5EF6
0x543F	U+5EF7
0x5440	U+5EFA
0x5441	U+5EFE
0x5442	U+5F04
0x5443	U+5F0A
0x5444	U+5F0B
0x5445	U+5F0D
0x5446	U+5F0F
0x5447	U+5F11
0x5448	U+5F13
0x5449	U+5F14
0x544A	U+5F15
0x544B	U+5F17
0x544C	U+5F1F
0x544D	U+5F29
0x544E	U+5F31
0x544F	U+5F35
0x5450	U+5F37
0x5451	U+5F3C
0x5452	U+5F48
