# TCVN 5773 to Unicode mappings compiled from multiple versions of the Unihan database,
#   excluding those for the Compatibility Ideographs Supplement Unicode block.
#
0x3922	U+6504
0x3923	U+3A62
0x3924	U+64F4
0x3925	U+6515
0x3926	U+64FC
0x3927	U+22E21
0x3928	U+64F8
0x3929	U+22DF9
0x392A	U+22E22
0x392B	U+22E45
0x392D	U+22E3E
0x392E	U+650A
0x392F	U+22E49
0x3930	U+22E65
0x3931	U+6511
0x3932	U+22DF3
0x3933	U+650F
0x3934	U+22E68
0x3935	U+22E92
0x3936	U+22E93
0x3937	U+6524
0x3938	U+651E
0x3939	U+22E94
0x393A	U+22EA4
0x393B	U+22E96
0x393C	U+652E
0x393D	U+23083
0x393E	U+23107
0x393F	U+23145
0x3940	U+65F4
0x3941	U+23157
0x3942	U+23175
0x3943	U+661B
0x3944	U+2318F
0x3945	U+231AE
0x3946	U+231AF
0x3947	U+6644
0x3948	U+231DC
0x3949	U+231DE
0x394A	U+231E0
0x394B	U+231E1
0x394C	U+23212
0x394D	U+3AFB
0x394E	U+23215
0x394F	U+23217
0x3950	U+23219
0x3951	U+3AFE
0x3952	U+23222
0x3953	U+3AFC
0x3954	U+2324F
0x3955	U+23272
0x3956	U+23274
0x3957	U+23276
0x3958	U+23278
0x3959	U+23255
0x395A	U+23298
0x395B	U+232BE
0x395C	U+232D1
0x395D	U+232DA
0x395E	U+66DA
0x395F	U+232FB
0x3960	U+232FD
0x3961	U+232FE
0x3962	U+232F1
0x3963	U+66E5
0x3964	U+318B1
0x3965	U+2331D
0x3967	U+23380
0x3968	U+26744
0x3969	U+23383
0x396A	U+23396
0x396B	U+6775
0x396C	U+677A
0x396D	U+233FF
0x396E	U+679B
0x396F	U+6776
0x3970	U+67B5
0x3971	U+67C9
0x3972	U+23432
0x3973	U+23434
0x3974	U+2341D
0x3975	U+682A
0x3976	U+23473
0x3977	U+684E
0x3978	U+689B
0x3979	U+23476
0x397A	U+23477
0x397B	U+23441
0x397C	U+686E
0x397D	U+6882
0x397E	U+689E
0x3A21	U+68AE
0x3A22	U+6877
0x3A23	U+688C
0x3A24	U+3B72
0x3A25	U+68A9
0x3A26	U+68A3
0x3A27	U+6887
0x3A28	U+68AC
0x3A29	U+6896
0x3A2A	U+6872
0x3A2B	U+234B1
0x3A2C	U+6890
0x3A2D	U+23513
0x3A2E	U+690A
0x3A2F	U+68CB
0x3A30	U+2351E
0x3A31	U+6930
0x3A32	U+6907
0x3A33	U+691A
0x3A34	U+3B88
0x3A35	U+23521
0x3A36	U+68E6
0x3A37	U+6925
0x3A38	U+23596
0x3A39	U+235D1
0x3A3A	U+2353B
0x3A3B	U+696E
0x3A3C	U+23677
0x3A3D	U+6963
0x3A3E	U+23599
0x3A3F	U+6973
0x3A40	U+6960
0x3A41	U+23543
0x3A42	U+2359D
0x3A43	U+3B94
0x3A44	U+23601
0x3A45	U+23603
0x3A46	U+69C1
0x3A47	U+69BE
0x3A48	U+23606
0x3A49	U+69C8
0x3A4A	U+69E8
0x3A4B	U+235A7
0x3A4C	U+69D2
0x3A4D	U+69CE
0x3A4E	U+236ED
0x3A4F	U+69FE
0x3A50	U+2367A
0x3A51	U+23667
0x3A52	U+23659
0x3A53	U+6A14
0x3A54	U+23669
0x3A55	U+2366B
0x3A56	U+6A17
0x3A57	U+6A7A
0x3A58	U+236E0
0x3A59	U+6A6F
0x3A5A	U+6A6C
0x3A5B	U+6A45
0x3A5C	U+3BF2
0x3A5D	U+6A77
0x3A5E	U+6A8A
0x3A5F	U+23730
0x3A60	U+2373F
0x3A61	U+6A82
0x3A62	U+3BDD
0x3A63	U+6A91
0x3A64	U+23733
0x3A65	U+3BF7
0x3A66	U+237BB
0x3A67	U+3C01
0x3A68	U+6AD7
0x3A69	U+3BFF
0x3A6A	U+23811
0x3A6B	U+23830
0x3A6C	U+23853
0x3A6D	U+23831
0x3A6E	U+23879
0x3A6F	U+238B9
0x3A70	U+23B5B
0x3A71	U+23B6F
0x3A72	U+23C19
0x3A73	U+23C35
0x3A74	U+2C1D3
0x3A75	U+23C6D
0x3A76	U+23C70
0x3A77	U+3CB8
0x3A78	U+6C40
0x3A79	U+23C7E
0x3A7A	U+6C53
0x3A7B	U+6C88
0x3A7C	U+6C7F
0x3A7D	U+6C6B
0x3A7E	U+6C75
0x3B21	U+23CA0
0x3B22	U+3CC9
0x3B23	U+23CA6
0x3B24	U+6C95
0x3B25	U+6CD1
0x3B26	U+6CCD
0x3B27	U+6CD9
0x3B28	U+23CD4
0x3B29	U+6CE0
0x3B2A	U+6CAB
0x3B2B	U+23CE2
0x3B2C	U+3CCC
0x3B2D	U+23D6E
0x3B2E	U+23D13
0x3B2F	U+6D1F
0x3B30	U+6D21
0x3B31	U+6D03
0x3B32	U+6D0F
0x3B33	U+23D1B
0x3B34	U+23D1C
0x3B35	U+6D05
0x3B36	U+6D0A
0x3B37	U+6D61
0x3B38	U+23D70
0x3B39	U+23CEE
0x3B3A	U+3CE5
0x3B3B	U+6D7D
0x3B3C	U+6D6C
0x3B3D	U+6D67
0x3B3E	U+3CEF
0x3B3F	U+6D58
0x3B40	U+3CEA
0x3B41	U+23DED
0x3B42	U+23DEF
0x3B43	U+23DF0
0x3B44	U+3CF6
0x3B45	U+23DF2
0x3B46	U+3CFB
0x3B47	U+6DE4
0x3B48	U+23DF4
0x3B49	U+6DCE
0x3B4A	U+6E1A
0x3B4B	U+23E53
0x3B4C	U+6E5B
0x3B4D	U+6E65
0x3B4E	U+6E8B
0x3B4F	U+6E4E
0x3B50	U+6E28
0x3B51	U+23E55
0x3B52	U+6E3C
0x3B53	U+6E03
0x3B54	U+6E73
0x3B55	U+23E56
0x3B56	U+6EC7
0x3B57	U+23EBA
0x3B58	U+6E98
0x3B5A	U+23EBE
0x3B5B	U+23EC0
0x3B5C	U+23EC2
0x3B5D	U+23EC4
0x3B5E	U+6EC0
0x3B5F	U+23EC6
0x3B60	U+23EC7
0x3B61	U+23F29
0x3B62	U+23F2D
0x3B63	U+23F3D
0x3B64	U+6F0A
0x3B65	U+6F34
0x3B66	U+23F2F
0x3B67	U+23F33
0x3B68	U+23FB5
0x3B69	U+23FB8
0x3B6A	U+23FBA
0x3B6B	U+3D52
0x3B6C	U+6F59
0x3B6D	U+23FBC
0x3B6E	U+6F77
0x3B6F	U+23FCC
0x3B70	U+6F9F
0x3B71	U+2401E
0x3B72	U+24053
0x3B73	U+6FBE
0x3B74	U+24055
0x3B75	U+24013
0x3B76	U+3D62
0x3B77	U+24016
0x3B78	U+6FD3
0x3B79	U+23FC5
0x3B7A	U+24012
0x3B7B	U+6FE7
0x3B7C	U+240A7
0x3B7D	U+240AA
0x3B7E	U+240AC
0x3C21	U+7002
0x3C22	U+240E7
0x3C23	U+2410B
0x3C24	U+240AD
0x3C25	U+240DB
0x3C26	U+240DD
0x3C27	U+7027
0x3C28	U+240DF
0x3C29	U+2412D
0x3C2A	U+7061
0x3C2B	U+24176
0x3C2C	U+3DA4
0x3C2D	U+241EE
0x3C2E	U+241CA
0x3C2F	U+7551
0x3C30	U+70AA
0x3C31	U+70B5
0x3C32	U+241CC
0x3C33	U+241E5
0x3C34	U+241E6
0x3C35	U+70A5
0x3C36	U+709F
0x3C37	U+241E7
0x3C38	U+70B6
0x3C39	U+2421C
0x3C3A	U+2421E
0x3C3B	U+24221
0x3C3C	U+241F2
0x3C3D	U+70E3
0x3C3E	U+24260
0x3C3F	U+24252
0x3C40	U+7113
0x3C41	U+24257
0x3C42	U+7112
0x3C43	U+70F8
0x3C44	U+24256
