# "VHN 01:1998" to Unicode mappings compiled from multiple versions of the Unihan database,
#   excluding those for the Compatibility Ideographs Supplement Unicode block.
0x777B	U+22E48
0x777C	U+22E63
0x777D	U+22E66
0x777E	U+22E4A
0x7821	U+22E69
0x7822	U+22E6A
0x7823	U+22E7D
0x7824	U+22E7F
0x7825	U+22E80
0x7826	U+22E81
0x7827	U+22E8D
0x7828	U+22E8E
0x7829	U+3A71
0x782A	U+22E9D
0x782B	U+22E6B
0x782D	U+22E9B
0x782E	U+22E9C
0x782F	U+3A79
0x7830	U+22EB3
0x7831	U+22F7C
0x7832	U+22FFC
0x7833	U+21C88
0x7834	U+22F59
0x7835	U+28EEE
0x7836	U+23072
0x7837	U+2308B
0x7838	U+29ABD
0x7839	U+230E3
0x783A	U+230E4
0x783B	U+230F1
0x783C	U+230F2
0x783D	U+230FA
0x783E	U+295AB
0x783F	U+23116
0x7840	U+23125
0x7841	U+2312C
0x7842	U+65F6
0x7843	U+23158
0x7844	U+23159
0x7845	U+23176
0x7846	U+23230
0x7847	U+231B0
0x7848	U+231B1
0x7849	U+231CA
0x784A	U+3AF0
0x784B	U+231DD
0x784C	U+231DF
0x784D	U+231EB
0x784E	U+23213
0x784F	U+23216
0x7850	U+23218
0x7851	U+2321A
0x7852	U+2321B
0x7853	U+2321C
0x7854	U+2321D
0x7855	U+2321E
0x7856	U+2324D
0x7857	U+23250
0x7858	U+23273
0x7859	U+23275
0x785A	U+23277
0x785B	U+23279
0x785C	U+2328B
0x785D	U+2328C
0x785E	U+2328D
0x785F	U+2328E
0x7860	U+232DB
0x7861	U+232DC
0x7862	U+232C6
0x7863	U+232DD
0x7864	U+232BF
0x7865	U+23301
0x7866	U+232C1
0x7867	U+232C2
0x7868	U+23302
0x7869	U+232C3
0x786A	U+232E8
0x786B	U+232E9
0x786C	U+232FC
0x786D	U+23306
0x786E	U+2330B
0x786F	U+23312
0x7870	U+23314
0x7871	U+2331B
0x7872	U+223E2
0x7873	U+223E3
0x7874	U+23335
0x7875	U+23336
0x7876	U+23339
0x7877	U+234A0
0x7878	U+2333A
0x7879	U+23342
0x787A	U+23345
0x787B	U+2334A
0x787C	U+2334D
0x787D	U+23357
0x787E	U+2666B
0x7921	U+2339E
0x7922	U+233B7
0x7923	U+23404
0x7924	U+23405
0x7926	U+23433
0x7927	U+23474
0x7928	U+2347A
0x7929	U+2347B
0x792A	U+3B68
0x792B	U+234B2
0x792C	U+234B4
0x792D	U+234A3
0x792E	U+3B7D
0x792F	U+23558
0x7930	U+2351F
0x7931	U+234BE
0x7932	U+23524
0x7933	U+23525
0x7934	U+23526
0x7935	U+3B80
0x7936	U+23528
0x7937	U+23529
0x7938	U+23597
0x7939	U+2356C
0x793A	U+2359B
0x793B	U+2359E
0x793C	U+2359C
0x793D	U+2359F
0x793E	U+235A0
0x793F	U+235A1
0x7940	U+235A2
0x7941	U+3BA7
0x7942	U+235FE
0x7943	U+235FC
0x7944	U+23604
0x7945	U+2363D
0x7946	U+23532
0x7947	U+23609
0x7948	U+2360A
0x7949	U+2360C
0x794A	U+235EA
0x794B	U+235CC
0x794C	U+235FF
0x794D	U+23602
0x794E	U+69EE
0x794F	U+23666
0x7950	U+23668
0x7951	U+236EF
0x7952	U+2366A
0x7953	U+2366C
0x7954	U+3BCA
0x7955	U+2366D
0x7956	U+2366E
0x7957	U+2366F
0x7958	U+236E1
0x7959	U+236E3
0x795A	U+236E5
0x795B	U+236E7
0x795C	U+236E8
0x795D	U+236E9
0x795E	U+6A51
0x795F	U+236EA
0x7960	U+236DF
0x7961	U+236AE
0x7962	U+2373E
0x7963	U+236F1
0x7964	U+23815
0x7965	U+23731
0x7966	U+23734
0x7967	U+23735
