# "Hán Nôm Coded Character Repertoire 2007" to Unicode mappings compiled from multiple versions
#   of the Unihan database.
#
0x4D34	U+2AE3D
0x4D35	U+2C2A2
0x4D36	U+2C2F1
0x4D37	U+2AE42
0x4D38	U+2C2AC
0x4D39	U+2AE4E
0x4D3A	U+243B6
0x4D3B	U+2AE4F
0x4D3C	U+2C2AD
0x4D3D	U+2C2B4
0x4D3E	U+2AE58
0x4D3F	U+2AE5A
0x4D40	U+2AE5C
0x4D41	U+2C2BD
0x4D42	U+2AE5F
0x4D43	U+31AFB
0x4D44	U+2AE63
0x4D45	U+2AE70
0x4D47	U+2AE6A
0x4D48	U+2C2C6
0x4D49	U+2C2CC
0x4D4A	U+2AE77
0x4D4B	U+2439E
0x4D4C	U+2C2D7
0x4D4D	U+32B24
0x4D4E	U+2AE7E
0x4D4F	U+2AE83
0x4D50	U+2C2DA
0x4D51	U+32B2C
0x4D52	U+2AE87
0x4D53	U+2C2DF
