03-93	0x237D	0xA3FD	U+FF5D	# ｝
03-94	0x237E	0xA3FE	U+FFE3	# ￣
04-01	0x2421	0xA4A1	U+3041	# ぁ
04-02	0x2422	0xA4A2	U+3042	# あ
04-03	0x2423	0xA4A3	U+3043	# ぃ
04-04	0x2424	0xA4A4	U+3044	# い
04-05	0x2425	0xA4A5	U+3045	# ぅ
04-06	0x2426	0xA4A6	U+3046	# う
04-07	0x2427	0xA4A7	U+3047	# ぇ
04-08	0x2428	0xA4A8	U+3048	# え
04-09	0x2429	0xA4A9	U+3049	# ぉ
04-10	0x242A	0xA4AA	U+304A	# お
04-11	0x242B	0xA4AB	U+304B	# か
04-12	0x242C	0xA4AC	U+304C	# が
04-13	0x242D	0xA4AD	U+304D	# き
04-14	0x242E	0xA4AE	U+304E	# ぎ
04-15	0x242F	0xA4AF	U+304F	# く
04-16	0x2430	0xA4B0	U+3050	# ぐ
04-17	0x2431	0xA4B1	U+3051	# け
04-18	0x2432	0xA4B2	U+3052	# げ
04-19	0x2433	0xA4B3	U+3053	# こ
04-20	0x2434	0xA4B4	U+3054	# ご
04-21	0x2435	0xA4B5	U+3055	# さ
04-22	0x2436	0xA4B6	U+3056	# ざ
04-23	0x2437	0xA4B7	U+3057	# し
04-24	0x2438	0xA4B8	U+3058	# じ
04-25	0x2439	0xA4B9	U+3059	# す
04-26	0x243A	0xA4BA	U+305A	# ず
04-27	0x243B	0xA4BB	U+305B	# せ
04-28	0x243C	0xA4BC	U+305C	# ぜ
04-29	0x243D	0xA4BD	U+305D	# そ
04-30	0x243E	0xA4BE	U+305E	# ぞ
04-31	0x243F	0xA4BF	U+305F	# た
04-32	0x2440	0xA4C0	U+3060	# だ
04-33	0x2441	0xA4C1	U+3061	# ち
04-34	0x2442	0xA4C2	U+3062	# ぢ
04-35	0x2443	0xA4C3	U+3063	# っ
04-36	0x2444	0xA4C4	U+3064	# つ
04-37	0x2445	0xA4C5	U+3065	# づ
04-38	0x2446	0xA4C6	U+3066	# て
04-39	0x2447	0xA4C7	U+3067	# で
04-40	0x2448	0xA4C8	U+3068	# と
04-41	0x2449	0xA4C9	U+3069	# ど
04-42	0x244A	0xA4CA	U+306A	# な
04-43	0x244B	0xA4CB	U+306B	# に
04-44	0x244C	0xA4CC	U+306C	# ぬ
04-45	0x244D	0xA4CD	U+306D	# ね
04-46	0x244E	0xA4CE	U+306E	# の
04-47	0x244F	0xA4CF	U+306F	# は
04-48	0x2450	0xA4D0	U+3070	# ば
04-49	0x2451	0xA4D1	U+3071	# ぱ
04-50	0x2452	0xA4D2	U+3072	# ひ
04-51	0x2453	0xA4D3	U+3073	# び
04-52	0x2454	0xA4D4	U+3074	# ぴ
04-53	0x2455	0xA4D5	U+3075	# ふ
04-54	0x2456	0xA4D6	U+3076	# ぶ
04-55	0x2457	0xA4D7	U+3077	# ぷ
04-56	0x2458	0xA4D8	U+3078	# へ
04-57	0x2459	0xA4D9	U+3079	# べ
04-58	0x245A	0xA4DA	U+307A	# ぺ
04-59	0x245B	0xA4DB	U+307B	# ほ
04-60	0x245C	0xA4DC	U+307C	# ぼ
04-61	0x245D	0xA4DD	U+307D	# ぽ
04-62	0x245E	0xA4DE	U+307E	# ま
04-63	0x245F	0xA4DF	U+307F	# み
04-64	0x2460	0xA4E0	U+3080	# む
04-65	0x2461	0xA4E1	U+3081	# め
