# Unicode equivalents for the list markers encoding which has portions included in various
#   variants of the ChinaSea Big-5 extension set.

0x995E	U+F862+0028+0033+0030+0029	# (30)
0x995F	U+F862+0028+0033+0031+0029	# (31)
0x9960	U+F862+0028+0033+0032+0029	# (32)
0x9961	U+F862+0028+0033+0033+0029	# (33)
0x9962	U+F862+0028+0033+0034+0029	# (34)
0x9963	U+F862+0028+0033+0035+0029	# (35)
0x9964	U+F862+0028+0033+0036+0029	# (36)
0x9965	U+F862+0028+0033+0037+0029	# (37)
0x9966	U+F862+0028+0033+0038+0029	# (38)
0x9967	U+F862+0028+0033+0039+0029	# (39)
0x9968	U+F862+0028+0034+0030+0029	# (40)
0x9969	U+F862+0028+0034+0031+0029	# (41)
0x996A	U+F862+0028+0034+0032+0029	# (42)
0x996B	U+F862+0028+0034+0033+0029	# (43)
0x996C	U+F862+0028+0034+0034+0029	# (44)
0x996D	U+F862+0028+0034+0035+0029	# (45)
0x996E	U+F862+0028+0034+0036+0029	# (46)
0x996F	U+F862+0028+0034+0037+0029	# (47)
0x9970	U+F862+0028+0034+0038+0029	# (48)
0x9971	U+F862+0028+0034+0039+0029	# (49)
0x9972	U+F862+0028+0035+0030+0029	# (50)
0x9973	U+F862+0028+0035+0031+0029	# (51)
0x9974	U+F862+0028+0035+0032+0029	# (52)
0x9975	U+F862+0028+0035+0033+0029	# (53)
0x9976	U+F862+0028+0035+0034+0029	# (54)
0x9977	U+F862+0028+0035+0035+0029	# (55)
0x9978	U+F862+0028+0035+0036+0029	# (56)
0x9979	U+F862+0028+0035+0037+0029	# (57)
0x997A	U+F862+0028+0035+0038+0029	# (58)
0x997B	U+F862+0028+0035+0039+0029	# (59)
0x997C	U+F862+0028+0036+0030+0029	# (60)
0x997D	U+F862+0028+0036+0031+0029	# (61)
0x997E	U+F862+0028+0036+0032+0029	# (62)
0x99A1	U+F862+0028+0036+0033+0029	# (63)
0x99A2	U+F862+0028+0036+0034+0029	# (64)
0x99A3	U+F862+0028+0036+0035+0029	# (65)
0x99A4	U+F862+0028+0036+0036+0029	# (66)
0x99A5	U+F862+0028+0036+0037+0029	# (67)
0x99A6	U+F862+0028+0036+0038+0029	# (68)
0x99A7	U+F862+0028+0036+0039+0029	# (69)
0x99A8	U+F862+0028+0037+0030+0029	# (70)
0x99A9	U+F862+0028+0037+0031+0029	# (71)
0x99AA	U+F862+0028+0037+0032+0029	# (72)
0x99AB	U+F862+0028+0037+0033+0029	# (73)
0x99AC	U+F862+0028+0037+0034+0029	# (74)
0x99AD	U+F862+0028+0037+0035+0029	# (75)
0x99AE	U+F862+0028+0037+0036+0029	# (76)
0x99AF	U+F862+0028+0037+0037+0029	# (77)
0x99B0	U+F862+0028+0037+0038+0029	# (78)
0x99B1	U+F862+0028+0037+0039+0029	# (79)
0x99B2	U+F862+0028+0038+0030+0029	# (80)
0x99B3	U+F862+0028+0038+0031+0029	# (81)
0x99B4	U+F862+0028+0038+0032+0029	# (82)
0x99B5	U+F862+0028+0038+0033+0029	# (83)
0x99B6	U+F862+0028+0038+0034+0029	# (84)
0x99B7	U+F862+0028+0038+0035+0029	# (85)
0x99B8	U+F862+0028+0038+0036+0029	# (86)
0x99B9	U+F862+0028+0038+0037+0029	# (87)
0x99BA	U+F862+0028+0038+0038+0029	# (88)
0x99BB	U+F862+0028+0038+0039+0029	# (89)
0x99BC	U+F862+0028+0039+0030+0029	# (90)
0x99BD	U+F862+0028+0039+0031+0029	# (91)
0x99BE	U+F862+0028+0039+0032+0029	# (92)
0x99BF	U+F862+0028+0039+0033+0029	# (93)
0x99C0	U+F862+0028+0039+0034+0029	# (94)
0x99C1	U+F862+0028+0039+0035+0029	# (95)
0x99C2	U+F862+0028+0039+0036+0029	# (96)
0x99C3	U+F862+0028+0039+0037+0029	# (97)
0x99C4	U+F862+0028+0039+0038+0029	# (98)
0x99C5	U+F862+0028+0039+0039+0029	# (99)
0x99C6	U+EA34	# (100)
0x99C7	U+1F110	# 🄐
0x99C8	U+1F111	# 🄑
0x99C9	U+1F112	# 🄒
0x99CA	U+1F113	# 🄓
0x99CB	U+1F114	# 🄔
0x99CC	U+1F115	# 🄕
0x99CD	U+1F116	# 🄖
0x99CE	U+1F117	# 🄗
0x99CF	U+1F118	# 🄘
0x99D0	U+1F119	# 🄙
0x99D1	U+1F11A	# 🄚
0x99D2	U+1F11B	# 🄛
0x99D3	U+1F11C	# 🄜
0x99D4	U+1F11D	# 🄝
0x99D5	U+1F11E	# 🄞
0x99D6	U+1F11F	# 🄟
0x99D7	U+1F120	# 🄠
0x99D8	U+1F121	# 🄡
0x99D9	U+1F122	# 🄢
0x99DA	U+1F123	# 🄣
0x99DB	U+1F124	# 🄤
0x99DC	U+1F125	# 🄥
0x99DD	U+1F126	# 🄦
0x99DE	U+1F127	# 🄧
0x99DF	U+1F128	# 🄨
0x99E0	U+1F129	# 🄩
0x99E1	U+249C	# ⒜
0x99E2	U+249D	# ⒝
0x99E3	U+249E	# ⒞
0x99E4	U+249F	# ⒟
0x99E5	U+24A0	# ⒠
0x99E6	U+24A1	# ⒡
0x99E7	U+24A2	# ⒢
0x99E8	U+24A3	# ⒣
0x99E9	U+24A4	# ⒤
0x99EA	U+24A5	# ⒥
0x99EB	U+24A6	# ⒦
0x99EC	U+24A7	# ⒧
0x99ED	U+24A8	# ⒨
0x99EE	U+24A9	# ⒩
0x99EF	U+24AA	# ⒪
0x99F0	U+24AB	# ⒫
0x99F1	U+24AC	# ⒬
0x99F2	U+24AD	# ⒭
0x99F3	U+24AE	# ⒮
0x99F4	U+24AF	# ⒯
0x99F5	U+24B0	# ⒰
0x99F6	U+24B1	# ⒱
0x99F7	U+24B2	# ⒲
0x99F8	U+24B3	# ⒳
0x99F9	U+24B4	# ⒴
0x99FA	U+24B5	# ⒵
0x9A40	U+1F100	# 🄀
0x9A41	U+2488	# ⒈
0x9A42	U+2489	# ⒉
0x9A43	U+248A	# ⒊
0x9A44	U+248B	# ⒋
0x9A45	U+248C	# ⒌
0x9A46	U+248D	# ⒍
0x9A47	U+248E	# ⒎
0x9A48	U+248F	# ⒏
0x9A49	U+2490	# ⒐
0x9A4A	U+2491	# ⒑
0x9A4B	U+2492	# ⒒
0x9A4C	U+2493	# ⒓
0x9A4D	U+2494	# ⒔
0x9A4E	U+2495	# ⒕
0x9A4F	U+2496	# ⒖
0x9A50	U+2497	# ⒗
0x9A51	U+2498	# ⒘
0x9A52	U+2499	# ⒙
0x9A53	U+249A	# ⒚
0x9A54	U+249B	# ⒛
