# Unicode equivalents for the hanzi encoding which has portions included in various variants
#   of the ChinaSea Big-5 extension set, prioritising the 黑體 variant of the extensions in places
#   where different variants of the ChinaSea extensions use the same position for different hanzi.

0x854F	U+534E	# 华
0x8550	U+83B1	# 莱
0x8551	U+82CC	# 苌
0x8552	U+865A	# 虚
0x8553	U+89C6	# 视
0x8554	U+8BC4	# 评
0x8555	U+8BCD	# 词
0x8556	U+8BC1	# 证
0x8557	U+8BC2	# 诂
0x8558	U+8BCF	# 诏
0x8559	U+8BC5	# 诅
0x855A	U+8BC8	# 诈
0x855B	U+8BCB	# 诋
0x855C	U+8BC9	# 诉
0x855D	U+8BCA	# 诊
0x855E	U+8BC3	# 诃
0x855F	U+8D2E	# 贮
0x8560	U+8D34	# 贴
0x8561	U+8D30	# 贰
0x8562	U+8D3B	# 贻
0x8563	U+8D32	# 贲
0x8564	U+8D39	# 费
0x8565	U+8D3A	# 贺
0x8566	U+8D35	# 贵
0x8567	U+4E70	# 买
0x8568	U+8D2C	# 贬
0x8569	U+8D38	# 贸
0x856A	U+8D37	# 贷
0x856B	U+8F72	# 轲
0x856C	U+8F74	# 轴
0x856D	U+8F76	# 轶
0x856E	U+8FDB	# 进
0x856F	U+90AE	# 邮
0x8570	U+4E61	# 乡
0x8571	U+949E	# 钞
0x8572	U+94AE	# 钮
0x8573	U+9499	# 钙
0x8574	U+94A0	# 钠
0x8575	U+94A7	# 钧
0x8576	U+949D	# 钝
0x8577	U+94A4	# 钤
0x8578	U+94A3	# 钣
0x8579	U+95F5	# 闵
0x857A	U+95F0	# 闰
0x857B	U+5F00	# 开
0x857C	U+95F2	# 闲
0x857D	U+95F4	# 间
0x857E	U+95F3	# 闳
0x85A1	U+961F	# 队
0x85A2	U+9636	# 阶
0x85A3	U+9633	# 阳
0x85A4	U+97E7	# 韧
0x85A5	U+9879	# 项
0x85A6	U+987A	# 顺
0x85A7	U+987B	# 须
0x85A8	U+996A	# 饪
0x85A9	U+996D	# 饭
0x85AA	U+9968	# 饨
0x85AB	U+996E	# 饮
0x85AC	U+996C	# 饬
0x85AD	U+51AF	# 冯
0x85AE	U+9A6D	# 驭
0x85AF	U+4E71	# 乱
0x85B0	U+503A	# 债
0x85B1	U+4F20	# 传
0x85B2	U+4EC5	# 仅
0x85B3	U+503E	# 倾
0x85B4	U+4F24	# 伤
0x85B5	U+506C	# 偬
