0x6F4B2C	U+AFD4	# HANGUL SYLLABLE GGWEO
0x6F4B2D	U+AFD8	# HANGUL SYLLABLE GGWEON
0x6F4B2E	U+AFE9	# HANGUL SYLLABLE GGWEONG
0x6F4B2F	U+AFF0	# HANGUL SYLLABLE GGWE
0x6F4B30	U+B000	# HANGUL SYLLABLE GGWEM
0x6F4B32	U+B00C	# HANGUL SYLLABLE GGWI
0x6F4B33	U+B00D	# HANGUL SYLLABLE GGWIG
0x6F4B34	U+B010	# HANGUL SYLLABLE GGWIN
0x6F4B35	U+B014	# HANGUL SYLLABLE GGWIL
0x6F4B36	U+B01C	# HANGUL SYLLABLE GGWIM
0x6F4B37	U+B01D	# HANGUL SYLLABLE GGWIB
0x6F4B38	U+B028	# HANGUL SYLLABLE GGYU
0x6F4B39	U+B044	# HANGUL SYLLABLE GGEU
0x6F4B3A	U+B045	# HANGUL SYLLABLE GGEUG
0x6F4B3B	U+B048	# HANGUL SYLLABLE GGEUN
0x6F4B3C	U+B04A	# HANGUL SYLLABLE GGEUNH
0x6F4B3D	U+B04C	# HANGUL SYLLABLE GGEUL
0x6F4B3E	U+B053	# HANGUL SYLLABLE GGEULH
0x6F4B3F	U+B054	# HANGUL SYLLABLE GGEUM
0x6F4B40	U+B055	# HANGUL SYLLABLE GGEUB
0x6F4B41	U+B057	# HANGUL SYLLABLE GGEUS
0x6F4B42	U+B059	# HANGUL SYLLABLE GGEUNG
0x6F4B43	U+B05D	# HANGUL SYLLABLE GGEUT
0x6F4B44	U+B07C	# HANGUL SYLLABLE GGI
0x6F4B45	U+B07D	# HANGUL SYLLABLE GGIG
0x6F4B46	U+B080	# HANGUL SYLLABLE GGIN
0x6F4B47	U+B084	# HANGUL SYLLABLE GGIL
0x6F4B48	U+B08C	# HANGUL SYLLABLE GGIM
0x6F4B49	U+B08D	# HANGUL SYLLABLE GGIB
0x6F4B4A	U+B08F	# HANGUL SYLLABLE GGIS
0x6F4B4B	U+B090	# HANGUL SYLLABLE GGISS
0x6F4B4C	U+B091	# HANGUL SYLLABLE GGING
0x6F4B4F	U+B098	# HANGUL SYLLABLE NA
0x6F4B50	U+B099	# HANGUL SYLLABLE NAG
0x6F4B51	U+B09A	# HANGUL SYLLABLE NAGG
0x6F4B52	U+B09C	# HANGUL SYLLABLE NAN
0x6F4B53	U+B09F	# HANGUL SYLLABLE NAD
0x6F4B54	U+B0A0	# HANGUL SYLLABLE NAL
0x6F4B55	U+B0A1	# HANGUL SYLLABLE NALG
0x6F4B56	U+B0A8	# HANGUL SYLLABLE NAM
0x6F4B57	U+B0A9	# HANGUL SYLLABLE NAB
0x6F4B58	U+B0AB	# HANGUL SYLLABLE NAS
0x6F4B59	U+B0AC	# HANGUL SYLLABLE NASS
0x6F4B5A	U+B0AD	# HANGUL SYLLABLE NANG
0x6F4B5B	U+B0AE	# HANGUL SYLLABLE NAJ
0x6F4B5C	U+B0AF	# HANGUL SYLLABLE NAC
0x6F4B5D	U+B0B1	# HANGUL SYLLABLE NAT
0x6F4B5E	U+B0B3	# HANGUL SYLLABLE NAH
0x6F4B5F	U+B0B4	# HANGUL SYLLABLE NAE
0x6F4B60	U+B0B5	# HANGUL SYLLABLE NAEG
0x6F4B61	U+B0B8	# HANGUL SYLLABLE NAEN
0x6F4B62	U+B0BB	# HANGUL SYLLABLE NAED
0x6F4B63	U+B0BC	# HANGUL SYLLABLE NAEL
0x6F4B64	U+B0C4	# HANGUL SYLLABLE NAEM
0x6F4B65	U+B0C5	# HANGUL SYLLABLE NAEB
0x6F4B66	U+B0C7	# HANGUL SYLLABLE NAES
0x6F4B67	U+B0C8	# HANGUL SYLLABLE NAESS
0x6F4B68	U+B0C9	# HANGUL SYLLABLE NAENG
0x6F4B69	U+B0D0	# HANGUL SYLLABLE NYA
0x6F4B6A	U+B0D1	# HANGUL SYLLABLE NYAG
0x6F4B6B	U+B0E0	# HANGUL SYLLABLE NYAM
0x6F4B6C	U+B0E5	# HANGUL SYLLABLE NYANG
0x6F4B6D	U+B0EC	# HANGUL SYLLABLE NYAE
0x6F4B6E	U+B108	# HANGUL SYLLABLE NEO
0x6F4B6F	U+B109	# HANGUL SYLLABLE NEOG
