# Mapping for the PostScript variant of MacJapanese.
#
# For purposes of interoperability with Apple software, the below mapping is intended to match the
# output produced by Apple's own libraries when either PostScript variant of MacJapanese is
# converted. Not having access to the original Classic Mac equipment or printers, I cannot vouch
# for its historicity.
#
# This shows in general a greater affinity to NEC-C-6226 than to normal MacJapanese, but it has
# Apple-style vertical forms (including those of the NEC square Katakana abbreviations) in place of
# the NEC-selected IBM extensions, and also omits the halfwidth NEC extensions (and the Heisei era
# monogram, which presumably wouldn't have been included in NEC kit produced in the Shouwa era
# anyway, hence also its allocation separate from the other three in NEC-C-6226 / Windows-31J).
#
0x8185	U+2266	# 1-69, LESS-THAN OVER EQUAL TO
0x8186	U+2267	# 1-70, GREATER-THAN OVER EQUAL TO
0x8187	U+221e	# 1-71, INFINITY
0x8188	U+2234	# 1-72, THEREFORE
0x8189	U+2642	# 1-73, MALE SIGN
0x818A	U+2640	# 1-74, FEMALE SIGN
0x818B	U+00b0	# 1-75, DEGREE SIGN
0x818C	U+2032	# 1-76, PRIME
0x818D	U+2033	# 1-77, DOUBLE PRIME
0x818E	U+2103	# 1-78, DEGREE CELSIUS
0x818F	U+ffe5	# 1-79, FULLWIDTH YEN SIGN
0x8190	U+ff04	# 1-80, FULLWIDTH DOLLAR SIGN
0x8191	U+00a2	# 1-81, CENT SIGN
0x8192	U+00a3	# 1-82, POUND SIGN
0x8193	U+ff05	# 1-83, FULLWIDTH PERCENT SIGN
0x8194	U+ff03	# 1-84, FULLWIDTH NUMBER SIGN
0x8195	U+ff06	# 1-85, FULLWIDTH AMPERSAND
0x8196	U+ff0a	# 1-86, FULLWIDTH ASTERISK
0x8197	U+ff20	# 1-87, FULLWIDTH COMMERCIAL AT
0x8198	U+00a7	# 1-88, SECTION SIGN
0x8199	U+2606	# 1-89, WHITE STAR
0x819A	U+2605	# 1-90, BLACK STAR
0x819B	U+25cb	# 1-91, WHITE CIRCLE
0x819C	U+25cf	# 1-92, BLACK CIRCLE
0x819D	U+25ce	# 1-93, BULLSEYE
0x819E	U+25c7	# 1-94, WHITE DIAMOND
0x819F	U+25c6	# 2-1, BLACK DIAMOND
0x81A0	U+25a1	# 2-2, WHITE SQUARE
0x81A1	U+25a0	# 2-3, BLACK SQUARE
0x81A2	U+25b3	# 2-4, WHITE UP-POINTING TRIANGLE
0x81A3	U+25b2	# 2-5, BLACK UP-POINTING TRIANGLE
0x81A4	U+25bd	# 2-6, WHITE DOWN-POINTING TRIANGLE
0x81A5	U+25bc	# 2-7, BLACK DOWN-POINTING TRIANGLE
0x81A6	U+203b	# 2-8, REFERENCE MARK
0x81A7	U+3012	# 2-9, POSTAL MARK
0x81A8	U+2192	# 2-10, RIGHTWARDS ARROW
0x81A9	U+2190	# 2-11, LEFTWARDS ARROW
0x81AA	U+2191	# 2-12, UPWARDS ARROW
0x81AB	U+2193	# 2-13, DOWNWARDS ARROW
0x81AC	U+3013	# 2-14, GETA MARK
