0xED9F	U+26cc	# 90-1, CROSSING LANES
0xEF5E	U+1f22a	# 93-31, SQUARED CJK UNIFIED IDEOGRAPH-4E09
0xEF5F	U+1f22b	# 93-32, SQUARED CJK UNIFIED IDEOGRAPH-904A
0xEF60	U+1f22c	# 93-33, SQUARED CJK UNIFIED IDEOGRAPH-5DE6
0xEF61	U+1f22d	# 93-34, SQUARED CJK UNIFIED IDEOGRAPH-4E2D
0xEF62	U+1f22e	# 93-35, SQUARED CJK UNIFIED IDEOGRAPH-53F3
0xEF63	U+1f22f	# 93-36, SQUARED CJK UNIFIED IDEOGRAPH-6307
0xEF64	U+1f230	# 93-37, SQUARED CJK UNIFIED IDEOGRAPH-8D70
0xEF65	U+1f231	# 93-38, SQUARED CJK UNIFIED IDEOGRAPH-6253
0xEF66	U+2113	# 93-39, SCRIPT SMALL L
0xEF67	U+338f	# 93-40, SQUARE KG
0xEF68	U+3390	# 93-41, SQUARE HZ
0xEF69	U+33ca	# 93-42, SQUARE HA
0xEF6A	U+339e	# 93-43, SQUARE KM
0xEF6B	U+33a2	# 93-44, SQUARE KM SQUARED
0xEF6C	U+3371	# 93-45, SQUARE HPA
0xEF6F	U+00bd	# 93-48, VULGAR FRACTION ONE HALF
0xEF70	U+2189	# 93-49, VULGAR FRACTION ZERO THIRDS
0xEF71	U+2153	# 93-50, VULGAR FRACTION ONE THIRD
0xEF72	U+2154	# 93-51, VULGAR FRACTION TWO THIRDS
0xEF73	U+00bc	# 93-52, VULGAR FRACTION ONE QUARTER
0xEF74	U+00be	# 93-53, VULGAR FRACTION THREE QUARTERS
0xEF75	U+2155	# 93-54, VULGAR FRACTION ONE FIFTH
0xEF76	U+2156	# 93-55, VULGAR FRACTION TWO FIFTHS
0xEF77	U+2157	# 93-56, VULGAR FRACTION THREE FIFTHS
0xEF78	U+2158	# 93-57, VULGAR FRACTION FOUR FIFTHS
0xEF79	U+2159	# 93-58, VULGAR FRACTION ONE SIXTH
0xEF7A	U+215a	# 93-59, VULGAR FRACTION FIVE SIXTHS
0xEF7B	U+2150	# 93-60, VULGAR FRACTION ONE SEVENTH
0xEF7C	U+215b	# 93-61, VULGAR FRACTION ONE EIGHTH
0xEF7D	U+2151	# 93-62, VULGAR FRACTION ONE NINTH
0xEF7E	U+2152	# 93-63, VULGAR FRACTION ONE TENTH
0xEF80	U+2600	# 93-64, BLACK SUN WITH RAYS
0xEF81	U+2601	# 93-65, CLOUD
0xEF82	U+2602	# 93-66, UMBRELLA
0xEF83	U+26c4	# 93-67, SNOWMAN WITHOUT SNOW
0xEF84	U+2616	# 93-68, WHITE SHOGI PIECE
0xEF85	U+2617	# 93-69, BLACK SHOGI PIECE
0xEF86	U+26c9	# 93-70, TURNED WHITE SHOGI PIECE
0xEF87	U+26ca	# 93-71, TURNED BLACK SHOGI PIECE
0xEF88	U+2666	# 93-72, BLACK DIAMOND SUIT
0xEF89	U+2665	# 93-73, BLACK HEART SUIT
0xEF8A	U+2663	# 93-74, BLACK CLUB SUIT
0xEF8B	U+2660	# 93-75, BLACK SPADE SUIT
0xEF8C	U+26cb	# 93-76, WHITE DIAMOND IN SQUARE
0xEF8D	U+2a00	# 93-77, N-ARY CIRCLED DOT OPERATOR
0xEF8E	U+203c	# 93-78, DOUBLE EXCLAMATION MARK
0xEF8F	U+2049	# 93-79, EXCLAMATION QUESTION MARK
0xEF90	U+26c5	# 93-80, SUN BEHIND CLOUD
0xEF91	U+2614	# 93-81, UMBRELLA WITH RAIN DROPS
0xEF92	U+26c6	# 93-82, RAIN
0xEF93	U+2603	# 93-83, SNOWMAN
0xEF94	U+26c7	# 93-84, BLACK SNOWMAN
0xEF95	U+26a1	# 93-85, HIGH VOLTAGE SIGN
0xEF96	U+26c8	# 93-86, THUNDER CLOUD AND RAIN
0xEF98	U+269e	# 93-88, THREE LINES CONVERGING RIGHT
0xEF99	U+269f	# 93-89, THREE LINES CONVERGING LEFT
0xEF9A	U+266c	# 93-90, BEAMED SIXTEENTH NOTES
0xEF9B	U+260e	# 93-91, BLACK TELEPHONE
0xEF9F	U+2160	# 94-1, ROMAN NUMERAL ONE
0xEFA0	U+2161	# 94-2, ROMAN NUMERAL TWO
0xEFA1	U+2162	# 94-3, ROMAN NUMERAL THREE
0xEFA2	U+2163	# 94-4, ROMAN NUMERAL FOUR
0xEFA3	U+2164	# 94-5, ROMAN NUMERAL FIVE
0xEFA4	U+2165	# 94-6, ROMAN NUMERAL SIX
0xEFA5	U+2166	# 94-7, ROMAN NUMERAL SEVEN
0xEFA6	U+2167	# 94-8, ROMAN NUMERAL EIGHT
0xEFA7	U+2168	# 94-9, ROMAN NUMERAL NINE
0xEFA8	U+2169	# 94-10, ROMAN NUMERAL TEN
0xEFA9	U+216a	# 94-11, ROMAN NUMERAL ELEVEN
0xEFAA	U+216b	# 94-12, ROMAN NUMERAL TWELVE
0xEFAB	U+2470	# 94-13, CIRCLED NUMBER SEVENTEEN
0xEFAC	U+2471	# 94-14, CIRCLED NUMBER EIGHTEEN
0xEFAD	U+2472	# 94-15, CIRCLED NUMBER NINETEEN
0xEFAE	U+2473	# 94-16, CIRCLED NUMBER TWENTY
0xEFAF	U+2474	# 94-17, PARENTHESIZED DIGIT ONE
0xEFB0	U+2475	# 94-18, PARENTHESIZED DIGIT TWO
0xEFB1	U+2476	# 94-19, PARENTHESIZED DIGIT THREE
0xEFB2	U+2477	# 94-20, PARENTHESIZED DIGIT FOUR
0xEFB3	U+2478	# 94-21, PARENTHESIZED DIGIT FIVE
0xEFB4	U+2479	# 94-22, PARENTHESIZED DIGIT SIX
0xEFB5	U+247a	# 94-23, PARENTHESIZED DIGIT SEVEN
0xEFB6	U+247b	# 94-24, PARENTHESIZED DIGIT EIGHT
0xEFB7	U+247c	# 94-25, PARENTHESIZED DIGIT NINE
0xEFB8	U+247d	# 94-26, PARENTHESIZED NUMBER TEN
0xEFB9	U+247e	# 94-27, PARENTHESIZED NUMBER ELEVEN
0xEFBA	U+247f	# 94-28, PARENTHESIZED NUMBER TWELVE
0xEFBB	U+3251	# 94-29, CIRCLED NUMBER TWENTY ONE
0xEFBC	U+3252	# 94-30, CIRCLED NUMBER TWENTY TWO
0xEFBD	U+3253	# 94-31, CIRCLED NUMBER TWENTY THREE
0xEFBE	U+3254	# 94-32, CIRCLED NUMBER TWENTY FOUR
0xEFBF	U+1f110	# 94-33, PARENTHESIZED LATIN CAPITAL LETTER A
0xEFC0	U+1f111	# 94-34, PARENTHESIZED LATIN CAPITAL LETTER B
0xEFC1	U+1f112	# 94-35, PARENTHESIZED LATIN CAPITAL LETTER C
0xEFC2	U+1f113	# 94-36, PARENTHESIZED LATIN CAPITAL LETTER D
