# Mapping for the non-Kanji, non-Hangul part of the Chinese Character Code for Information
#   Interchange (CCCII), otherwise known as the East Asian Character Code (EACC).
#   Those plane 73 mappings which can just be passed through to a JIS X 0208 table are omitted.
#   (I am aware that the non-Kanji part includes duplicates of certain Kanji.)
#
# Sources consulted (and referenced below):
#   Koha Taiwan supplied Encode::HanExtra mappings:
#     https://metacpan.org/source/AUDREYT/Encode-HanExtra-0.23
#   Library of Congress mappings:
#     http://memory.loc.gov/diglib/codetables/eacc2uni.txt
#   Hong Kong University mappings:
#     http://hkiug-archive.lib.hku.hk/unicode/hkiug_cjk_codetable-1.0.5.html
#   BDF font distributed by Yasuoka-san:
#     http://kanji.zinbun.kyoto-u.ac.jp/~yasuoka/ftp/fonts/cccii64.bdf.Z
#   Ken Lunde's CJK Information Processing (O'Reilly), 2009 ed. (though this did not contribute
#     mapping information in any way)

# Mathematical part. Excluded entirely by the Library of Congress subset. The Hong Kong University
#   variant includes an entirely different layout in this row instead. I am deviating from the
#   Koha Taiwan supplied Encode::HanExtra mappings by using a different mapping of the angle
#   bracket characters, thus de-duplicating them from the JIS angle brackets in plane 73, which are
#   favoured by the other mappings. I am also adding mappings for the characters omitted by the 
#   Koha mapping.
0x212B29	U+FE43	# PRESENTATION FORM FOR VERTICAL LEFT WHITE CORNER BRACKET
0x212B2A	U+FE44	# PRESENTATION FORM FOR VERTICAL RIGHT WHITE CORNER BRACKET
0x212B2B	U+300E	# LEFT WHITE CORNER BRACKET
0x212B2C	U+300F	# RIGHT WHITE CORNER BRACKET
0x212B2D	U+FE34	# PRESENTATION FORM FOR VERTICAL WAVY LOW LINE
0x212B2E	U+FE4F	# WAVY LOW LINE
0x212B2F	U+FE47	# PRESENTATION FORM FOR VERTICAL LEFT SQUARE BRACKET # or U+FE39
0x212B30	U+FE48	# PRESENTATION FORM FOR VERTICAL RIGHT SQUARE BRACKET # or U+FE3A
0x212B31	U+FF3B	# FULLWIDTH LEFT SQUARE BRACKET # or U+3014
0x212B32	U+FF3D	# FULLWIDTH RIGHT SQUARE BRACKET # or U+3015
0x212B33	U+3002	# IDEOGRAPHIC FULL STOP
0x212B34	U+FF0E	# FULLWIDTH FULL STOP # U+30FB in Koha, inexplicably
0x212B35	U+3001	# IDEOGRAPHIC COMMA
0x212B36	U+FE19	# PRESENTATION FORM FOR VERTICAL HORIZONTAL ELLIPSIS
0x212B37	U+2026	# HORIZONTAL ELLIPSIS
0x212B38	U+FF0C	# FULLWIDTH COMMA
0x212B39	U+FF1B	# FULLWIDTH SEMICOLON
0x212B3A	U+FF1A	# FULLWIDTH COLON
0x212B3B	U+FF1F	# FULLWIDTH QUESTION MARK
0x212B3C	U+2223	# DIVIDES # for want of a better mapping since U+FE31 is in use
0x212B3D	U+FF01	# FULLWIDTH EXCLAMATION MARK
0x212B3E	U+FE32	# PRESENTATION FORM FOR VERTICAL EN DASH # the marginally longer one in BDF
0x212B3F	U+FE31	# PRESENTATION FORM FOR VERTICAL EM DASH # per Koha; in BDF marginally shorter 
0x212B40	U+2018	# LEFT SINGLE QUOTATION MARK
0x212B41	U+2019	# RIGHT SINGLE QUOTATION MARK
0x212B42	U+201C	# LEFT DOUBLE QUOTATION MARK
0x212B43	U+201D	# RIGHT DOUBLE QUOTATION MARK

# In the Koha mapping data, but not in the BDF font. I'm deviating from the Koha mapping by mapping
#   the double angle brackets as double guillemets, thus de-duplicating them from the JIS
#   angle brackets in plane 73.
0x212B4A	U+00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x212B4B	U+00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x212B4C	U+3010	# LEFT BLACK LENTICULAR BRACKET
