# CNS 11643 plane 19 (corresponding to the IRG/Unihan source prefix "T13-").
# This file includes both those listed as IRG sources in the Unihan database, and also those
#   withdrawn from IRG working sets as unifiable with existing characters.
#
0x3430	U+319D6
0x3432	U+319EA
0x3436	U+9FCC
0x3443	U+319D7
0x3449	U+6DDA
0x344F	U+319D0
0x3451	U+319D1
0x345B	U+319E3
0x3462	U+319C9
0x3463	U+30719
0x346B	U+319E4
0x346D	U+319CA
0x3472	U+319CB
0x3473	U+6EC5
0x3477	U+316A1
0x3478	U+319E5
0x3479	U+2B79C
0x347A	U+319D2
0x347B	U+319D8
0x347C	U+319D3
0x347D	U+319CC
0x347E	U+319CD
0x3521	U+319EB
0x3522	U+319EC
0x3523	U+319F8
0x3525	U+319F9
0x3526	U+319FA
0x3527	U+31A06
0x3529	U+319FB
0x352A	U+319FC
0x352C	U+319FD
0x352D	U+319F0
0x352E	U+31A02
0x352F	U+2EAEE
0x3530	U+319FE
0x3532	U+31A07
0x3533	U+23F02
0x3534	U+319FF
0x3535	U+31A00
0x3536	U+31A0A
0x3537	U+31A08
0x3538	U+31A09
0x3539	U+319F1
0x353A	U+6EAA
0x353B	U+31A04
0x353C	U+31A22
0x353D	U+319D9
0x353E	U+31A1B
0x353F	U+31A1C
0x3541	U+31A1D
0x3542	U+31A23
0x3543	U+31A16
0x3544	U+31A1E
0x3545	U+31A1F
0x3546	U+31A0B
0x3547	U+31A24
0x3549	U+31A11
0x354A	U+31A20
0x354D	U+31A0C
0x354E	U+31A12
0x354F	U+31A0D
0x3550	U+31A17
0x3551	U+31A0E
0x3552	U+31A13
0x3553	U+6F01
0x3554	U+31A0F
0x3555	U+31A14
0x3556	U+31A25
0x3557	U+31A18
0x3558	U+31A21
0x3559	U+31A2D
0x355A	U+31A40
0x355C	U+31A39
0x355D	U+3D3E
0x355E	U+31A28
0x3560	U+31A2E
0x3561	U+31A2F
0x3562	U+31A30
0x3563	U+31A31
0x3564	U+31A35
0x3565	U+31A3A
0x3566	U+31A29
0x3567	U+31A2A
0x3568	U+31A3B
0x3569	U+31A3C
0x356A	U+31A5E
0x356B	U+31A3D
0x356C	U+31A2B
0x356D	U+31A3E
0x356E	U+31A36
0x356F	U+31A41
0x3570	U+31A32
0x3571	U+6EEF
0x3572	U+31A43
0x3573	U+31A44
0x3574	U+31A4D
0x3575	U+6FC3
0x3576	U+31A4E
0x3578	U+31A59
0x3579	U+31A5F
0x357A	U+31A45
0x357B	U+31A4F
0x357C	U+31A46
0x357D	U+31A5A
0x357E	U+31A50
0x3621	U+31A51
0x3622	U+31A52
0x3623	U+31A47
0x3624	U+31A48
0x3625	U+31A5B
0x3626	U+31A37
0x3628	U+31A6C
0x3629	U+31A65
0x362A	U+31A6D
0x362B	U+31A60
0x362C	U+31A5C
0x362D	U+31A5D
0x362E	U+31A66
0x362F	U+31A67
0x3631	U+31A61
0x3633	U+24052
0x3634	U+31A68
0x3635	U+31A62
0x3636	U+31A6E
0x3637	U+31A69
0x3638	U+31A63
0x3639	U+31A77
0x363A	U+2405F
0x363B	U+31A73
0x363C	U+31A74
0x363E	U+24098
0x363F	U+31A70
0x3640	U+31A71
0x3641	U+31A72
0x3642	U+31A64
0x3643	U+31A84
0x3644	U+31A82
0x3645	U+31A7E
0x3646	U+31A85
0x3648	U+31A83
0x3649	U+31A86
0x364B	U+31A89
0x364C	U+31A8A
0x364D	U+31A8B
0x364E	U+701A
0x364F	U+31A8C
0x3650	U+31A8D
0x3651	U+31A93
0x3652	U+31A92
0x3653	U+31A8F
0x3654	U+31A94
0x3655	U+31A95
0x3657	U+24140
0x3658	U+31A96
0x3659	U+31A99
0x365A	U+31A97
0x365B	U+24140
0x365C	U+31A9B
0x365D	U+31A9C
0x365E	U+31A9E
0x3660	U+31A9F
0x3661	U+31AA0
0x3662	U+29F2A
0x3663	U+31AA8
0x3664	U+31AB6
0x3665	U+31ABA
0x3666	U+31ABC
0x3667	U+31AB7
0x3668	U+31AB8
0x3669	U+31ABB
0x366A	U+31ABD
0x366C	U+31AC3
0x366D	U+31ACC
0x366E	U+2C293
0x366F	U+31ACF
0x3670	U+31AC6
0x3671	U+242EC
0x3672	U+31AC7
0x3673	U+31AD9
0x3675	U+31ADA
0x3676	U+24261
0x3677	U+31AD4
0x3678	U+31AD5
0x3679	U+31ADD
0x367A	U+31ADE
0x367B	U+31AE6
0x367C	U+2DD3E
0x367D	U+31AE7
0x3721	U+9FBD
